"FileName	CharacterName	ExpressionName	DialogueEN	DialogueID"
"1-Entrance-1	Elara	Happy	Finally made it.	Akhirnya nyampe juga"
"1-Entrance-1	Elara	Questioning	This place hasn't changed much, huh?	Tempat ini gak banyak berubah, ya?"
"1-Entrance-1	Elara	Happy	I wonder if Dad will be surprised that I suddenly showed up.	Ayah kaget gak ya, tiba-tiba aku dahh nyampe?"
"1-Entrance-1	Elara	Happy	I want to <b>surprise Dad at the lighthouse</b>. He should be there.	Aku mau <b>kejutin Ayah di mercusuar</b>. Harusnya Ayah ada di sana."
"1-Entrance-1	Elara	Happy	I can't wait to see Dad and walk around with him again.	Gak sabar ingin ketemu Ayah trus berkeliling."
"1-Entrance-1	Elara	Normal	Come to think of it, it's been so long since I went around with Dad.	Dipikir-pikir udah lama banget gak keliling sama Ayah."
"1-Entrance-1	Elara	Questioning	Three years? I think so.	3 Tahun? Sepertinya iya."
"1-Entrance-1	Elara	Sad	College was really hectic, so I couldn't even stop by. Phew.	Kuliah kemaren bener-bener padet sampe gak bisa mampir. Huft."
"1-Entrance-1	Elara	Happy	Yep, it's time!	Yap, ini waktunya!"
"1-Entrance-1	Elara	Happy	An adventure, Lara and Cahya. Hahahaa.	Pengelanaa, Lara dan Cahya. Hahahaa."
"1-Entrance-1	Elara	Normal		"
"1-Entrance-1	Elara	Shocked	Huh?	Eh?"
"1-Entrance-1	Elara	Questioning	Wait. Why is there someone here for once?	Bentar. Tumben ada orang di sini?"
"1-Entrance-1	Elara	Questioning	Dad's friend?	Temen Ayah?"
"1-Entrance-1	Elara	Questioning	Who could it be?	Sapa kali ya?"
"				"
"1-Entrance-2-Nova	Elara	Normal	Hello?	Halo?"
"1-Entrance-2-Nova	Nova	Normal	Hm?	Emh?"
"1-Entrance-2-Nova	Nova	Normal	It's unusual to see someone here. What are you doing?	Tumben ada orang ke sini. Mau ngapain?"
"1-Entrance-2-Nova	Elara	Questioning	(Oh, we have the same question.)	(Eh, pertanyaan kita sama)"
"1-Entrance-2-Nova	Elara	Normal		"
"1-Entrance-2-Nova	Elara	Normal	Oh. I'm Mr. Cahya's daughter, Uncle. He takes care of the lighthouse over there.	Oh. Saya anak Pak Cahya, Om. Yang jaga mercusuar di sana."
"1-Entrance-2-Nova	Elara	Questioning	Are you Dad's friend, Uncle?	Om temen ayah, kah?"
"1-Entrance-2-Nova	Nova	Normal	Cahya?	Cahya?"
"1-Entrance-2-Nova	Nova	Normal	Oh.	Oh.  "
"1-Entrance-2-Nova	Elara	Questioning	Huh? What's wrong, Uncle?	Eh? Ada apa, Om?"
"1-Entrance-2-Nova	Nova	Normal	It's nothing. It's just rare for anyone to come to this beach. Usually there are tourists or locals around, but I don't know why it's suddenly so empty. Maybe it's haunted?	Gapapa. Jarang aja ada yang datengin pantai ini. Biasanya ada turis atau warlok ke sini, tapi ntah ngapa jadi sepi banget. Angker kali ya?"
"1-Entrance-2-Nova	Elara	Angry	Haiss. Of course it isn't haunted. I've played here since I was little and nothing ever happened.	Haiss. Mana ada angker? Dari kecil aku sering main di sini ga ada apa-apa."
"1-Entrance-2-Nova	Nova	Normal	You sure?	Yakin?"
"1-Entrance-2-Nova	Elara	Normal	Hmmmmm.	Hmmmmm."
"1-Entrance-2-Nova	Elara	Normal	Ahh. Whatever. I'll go find Dad first.	Ahh. Bodoamat lah. Aku temuin Ayah dulu."
"				"
"1-Entrance-3	Elara	Normal	""""""Cirubai Lighthouse""""""	""""""Mercusuar Cirubai"""""""
"1-Entrance-3	Elara	Normal	100m	100m"
"				"
"1-Entrance-4	Elara	Questioning	Huh. Uncle's already gone?	Lah. Si Om dah ilang?"
"1-Entrance-4	Elara	Normal	Whatever.	Yasudahlah."
"				"
"1-Beach-0-1	Elara	Happy	This cool air. It's the best.	Udara sejuk ini. Emang yang terbaik."
"				"
"1-Beach-0-2	Elara	Happy	Butterfliiies!	Kupu-kupuu!"
"1-Beach-0-2	Elara	Questioning	But why is it black?	Tapi kok hitam?"
"1-Beach-0-2	Elara	Happy	I'll follow it.	Ikutin dehh."
"				"
"1-Beach-0-3	Elara	Shocked	EHHHHH!!!	EHHHHH!!!"
"1-Beach-0-3	Elara	Shocked	Why did my head suddenly get so dizzy?	Kenapa tiba-tiba kepalaku pusing banget."
"1-Beach-0-3	Elara	Shocked	The lighthouse too. Why is it like that?	Mercusuarnya juga. Kenapa kek gitu?"
"1-Beach-0-3	Elara	Questioning	Ugh. Am I dizzy from riding the bus earlier?	Aduh. Apa aku mabuk perkara naik bis tadi?"
"1-Beach-0-3	Elara	Normal	I have to get through.	Aku harus lewat."
"				"
"1-Beach-0-4	Elara	Shocked	WHAT HAPPENED???!	APA YANG TERJADI???!"
"1-Beach-0-4	Elara	Shocked	Where am I???	Di manaa aku???"
"1-Beach-0-4	Elara	Shocked	What's wrong with my eyes? Why did everything suddenly go dark?	Mataku kenapa? Kok tiba-tiba semuanya jadi gelap?"
"1-Beach-0-4	Elara	Normal	I have to stay conscious.	Aku harus sadar."
"				"
"1-Beach-0-5	Elara	Shocked	These butterflies!!!	Kupu-kupu ini!!!"
"1-Beach-0-5	Elara	Questioning	Are they here to guide me?	Apa mereka di sini untuk menuntunku?"
